"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"chr18-63969855-63971452",8.63839505153316e-11,1.5022826085645,0.211,0.071,1.73745767350497e-05,"Sig"
"chr6-27250557-27252153",8.7774592655856e-11,2.02472376014522,0.158,0.037,1.76542793700576e-05,"Sig"
"chr14-99578838-99580580",9.11886509597877e-11,1.90652619759425,0.171,0.044,1.8340955744844e-05,"Sig"
"chr10-103788871-103790227",1.02394571457228e-10,1.67936765946553,0.221,0.064,2.05948249463351e-05,"Sig"
"chr1-160177191-160178707",1.34847515003481e-10,3.50962317262399,0.072,0.006,2.71221503876801e-05,"Sig"
"chr13-21338235-21339582",1.37831202488338e-10,2.60831119707354,0.115,0.017,2.77222654188844e-05,"Sig"
"chr11-108203978-108204791",1.39012357297074e-10,2.64315250701461,0.096,0.015,2.79598334478751e-05,"Sig"
"chr10-5465988-5466995",1.39254784572099e-10,2.09929574279453,0.149,0.033,2.80085933305554e-05,"Sig"
"chr4-100288210-100289780",1.60735131727818e-10,2.51678685070735,0.114,0.022,3.23289785146794e-05,"Sig"
"chr17-76031360-76032621",1.85866609520147e-10,2.3159969292537,0.103,0.02,3.73837229060062e-05,"Sig"
"chr10-93465549-93466642",1.88433016948559e-10,1.71207499159677,0.196,0.058,3.78999095648975e-05,"Sig"
"chr22-38335840-38337351",1.99557650588065e-10,2.00064422017814,0.141,0.033,4.01374293780786e-05,"Sig"
"chr14-105473287-105474882",2.15167391875274e-10,1.39258030658553,0.281,0.102,4.32770478626575e-05,"Sig"
"chr14-34130236-34131482",2.2511299063117e-10,2.17184412219966,0.126,0.026,4.52774260316286e-05,"Sig"
"chr16-66277390-66278941",2.28451786884492e-10,1.69437672396912,0.221,0.066,4.59489647996516e-05,"Sig"
"chr8-91069365-91070779",2.34948379394944e-10,1.33046288643939,0.211,0.078,4.72556374444638e-05,"Sig"
"chr4-139176018-139178737",2.55129062011295e-10,0.800671756634668,0.419,0.215,5.13146185004558e-05,"Sig"
"chr15-78100814-78102084",2.72573081702727e-10,1.83184628181035,0.192,0.051,5.4823169069033e-05,"Sig"
"chr1-153607784-153609563",2.91678633210782e-10,1.59922827351104,0.202,0.063,5.8665906854951e-05,"Sig"
"chr16-34585494-34587527",3.04673242372115e-10,-1.59552111758694,0.04,0.103,6.12795385847882e-05,"Sig"
"chr7-156326641-156327870",3.18939886306011e-10,2.45013290761581,0.107,0.02,6.41490172125006e-05,"Sig"
"chr1-210232106-210234476",3.41371552851554e-10,1.74063212224825,0.172,0.05,6.86607431681387e-05,"Sig"
"chr1-160124259-160125306",4.03222600267294e-10,1.97967037037622,0.159,0.037,8.11009680369613e-05,"Sig"
"chr19-36213909-36215500",4.29064946000584e-10,1.23241017627848,0.265,0.103,8.62986907189895e-05,"Sig"
"chr16-46900279-46901161",4.65515478935676e-10,3.51765421379859,0.061,0.005,9.36300593092903e-05,"Sig"
"chr17-4512727-4514788",4.68073697511121e-10,1.83591060754498,0.164,0.042,9.41445989278067e-05,"Sig"
"chr16-2672978-2674206",4.92690882605702e-10,0.938144643890004,0.33,0.152,9.909590260025e-05,"Sig"
"chr3-128434994-128435568",5.73239438916208e-10,1.81810307569136,0.187,0.051,0.000115296794828095,"Sig"
"chr1-21626010-21627387",6.95087411310675e-10,1.44158272123849,0.257,0.092,0.000139804321211739,"Sig"
"chr14-37197373-37198464",7.07949396432147e-10,4.45363942438951,0.051,0.002,0.000142391278003191,"Sig"
"chr3-31946540-31948277",7.49689976303002e-10,3.06960092262364,0.092,0.011,0.000150786644313775,"Sig"
"chr6-132757651-132758285",7.58244742032706e-10,3.36480445606812,0.056,0.005,0.000152507281454522,"Sig"
"chr2-20235745-20236376",7.93749399562694e-10,2.18483233711409,0.146,0.032,0.000159648404232844,"Sig"
"chr1-202835547-202838044",7.96995848019835e-10,1.78153546260877,0.186,0.054,0.000160301368903925,"Sig"
"chr3-194140554-194142692",8.52955246463532e-10,1.13521720119708,0.342,0.143,0.000171556594631703,"Sig"
"chr3-111070098-111072539",9.18513221971259e-10,1.43457986915011,0.25,0.087,0.000184742401361523,"Sig"
"chr6-106118660-106119967",9.57981961680876e-10,1.88042062566806,0.155,0.04,0.000192680827916798,"Sig"
"chr1-176461384-176463365",1.06394143689679e-09,1.97895546294738,0.137,0.034,0.000213992669085925,"Sig"
"chr6-116570680-116571839",1.06772019608625e-09,1.24634778833075,0.241,0.093,0.000214752698479219,"Sig"
"chr11-83285357-83286845",1.07420227133729e-09,1.16141788230174,0.266,0.107,0.000216056451238613,"Sig"
"chr8-133374773-133376437",1.14441865863575e-09,1.81466569486136,0.158,0.045,0.000230179213648726,"Sig"
"chr4-68349299-68350463",1.27111923653422e-09,1.2252064897519,0.236,0.093,0.000255662754282601,"Sig"
"chr22-20798616-20799837",1.28547170918217e-09,1.90523669585952,0.129,0.033,0.000258549495811229,"Sig"
"chr3-4977126-4979766",1.36045965953315e-09,0.897450967440548,0.392,0.185,0.000273631972241221,"Sig"
"chr6-7008200-7009122",1.38865395035117e-09,2.27472469669384,0.101,0.02,0.000279302746342031,"Sig"
"chr15-81296671-81298771",1.50449188377854e-09,1.27715615406756,0.27,0.103,0.000302601461568146,"Sig"
"chr2-131031173-131032276",1.52272042687564e-09,2.91436802635446,0.081,0.011,0.000306267804898352,"Sig"
"chr12-50841777-50843288",1.57169765951343e-09,1.84958752522522,0.17,0.046,0.000316118693653255,"Sig"
"chr9-83061856-83063448",1.59899934662279e-09,2.05169706330163,0.136,0.033,0.000321609936584935,"Sig"
"chr14-105601935-105603757",1.66355234683785e-09,1.56171064233451,0.223,0.074,0.00033459361062419,"Sig"
"chr20-23186262-23188094",1.70081055444591e-09,1.56536803742494,0.133,0.039,0.000342087428436816,"Sig"
"chr1-120843979-120844907",1.83428019752434e-09,2.70541394449997,0.075,0.011,0.000368932444688466,"Sig"
"chr22-31585073-31586917",2.06614149130052e-09,2.09948520753711,0.145,0.034,0.000415567170428256,"Sig"
"chr15-74201909-74203239",2.11417101127389e-09,1.79913999856577,0.173,0.047,0.00042522744383954,"Sig"
"chr9-133990762-133993602",2.14467109823133e-09,-0.924480671104828,0.105,0.169,0.000431361987329463,"Sig"
"chr9-121597903-121600166",2.1661102195817e-09,1.2479239385283,0.272,0.106,0.000435674080684907,"Sig"
"chr15-92839390-92840821",2.22223040273434e-09,1.5807540214144,0.203,0.063,0.000446961645362764,"Sig"
"chr19-4209807-4210725",2.26004853412315e-09,1.92220284479042,0.165,0.041,0.000454568081765258,"Sig"
"chr19-46208761-46209445",2.31526116494841e-09,3.25266784288149,0.059,0.007,0.000465673108628404,"Sig"
"chr4-87975437-87975770",2.59108551771599e-09,-2.13287325055748,0.018,0.071,0.000521150212349253,"Sig"
"chr4-38462324-38463553",2.6546851153287e-09,2.2443633112805,0.108,0.021,0.000533942126616291,"Sig"
"chr1-174998534-175000636",2.86770263395383e-09,0.75241282594136,0.439,0.235,0.000576786766172402,"Sig"
"chr6-114010242-114011896",2.89260584646914e-09,2.28330801740566,0.114,0.024,0.000581795599112031,"Sig"
"chr12-5801583-5802466",3.16016748757987e-09,2.44155580877478,0.103,0.017,0.000635610807111914,"Sig"
"chr21-36267457-36268342",3.37503737027945e-09,2.46930538356447,0.091,0.017,0.000678828016359047,"Sig"
"chr21-33947402-33948428",3.41334518415218e-09,1.71581816473721,0.152,0.045,0.000686532943578896,"Sig"
"chr20-3811170-3812200",3.47324432822376e-09,1.19524444548293,0.252,0.103,0.000698580578224301,"Sig"
"chr4-1009209-1011842",3.51478769397825e-09,-0.739646094743088,0.156,0.215,0.000706936278465234,"Sig"
"chr14-75068927-75070703",3.59433700596088e-09,1.1260649650644,0.315,0.131,0.000722936190682924,"Sig"
"chr19-15075583-15076327",3.83247489105108e-09,2.81559134386813,0.081,0.011,0.000770833339786885,"Sig"
"chr16-14363813-14365828",3.91387770352776e-09,1.48782220500983,0.225,0.08,0.000787206050265946,"Sig"
"chr12-7927723-7928786",3.97497533553454e-09,2.62587323323986,0.079,0.012,0.000799494739186733,"Sig"
"chr2-202932358-202933620",4.03612608466791e-09,1.62066244703677,0.151,0.044,0.000811794111661425,"Sig"
"chr14-31947065-31948500",4.05440886562989e-09,1.57589989745843,0.199,0.063,0.000815471363961871,"Sig"
"chr19-49745202-49747098",4.27918083400263e-09,1.40102520923671,0.203,0.07,0.000860680199504617,"Sig"
"chr2-42360563-42361868",4.54726994302663e-09,1.15651679179355,0.254,0.101,0.000914601498180831,"Sig"
"chr10-59175701-59177581",4.64856417188168e-09,1.73982166641002,0.182,0.053,0.000934975009018906,"Sig"
"chr4-122602389-122603632",4.71017952533285e-09,4.20211707059904,0.05,0.003,0.000947367828289248,"Sig"
"chr22-39474276-39475000",4.7437928857729e-09,1.88187342267711,0.157,0.043,0.000954128550701275,"Sig"
"chr22-42519320-42520956",5.01323680619803e-09,1.49534516142674,0.181,0.059,0.00100832234530422,"Sig"
"chr16-4944499-4946199",5.12244503209871e-09,2.13496772846776,0.125,0.029,0.00103028761419608,"Sig"
"chr17-68195936-68198556",5.36289764097412e-09,1.65415490350341,0.172,0.048,0.00107865032832441,"Sig"
"chr19-53381142-53382556",5.42132294343096e-09,2.2105036066685,0.107,0.024,0.00109040152625816,"Sig"
"chr4-124018431-124019371",5.64221169409435e-09,2.17424177112005,0.109,0.024,0.00113482932245659,"Sig"
"chr19-56837007-56840104",5.82128560838478e-09,1.29421882579362,0.294,0.112,0.00117084681698565,"Sig"
"chr19-49775516-49776608",6.09369188761646e-09,1.90054359923476,0.151,0.039,0.00122563643674007,"Sig"
"chr3-46373090-46373890",6.23157394550496e-09,2.93318130832499,0.07,0.008,0.0012533689308073,"Sig"
"chr16-14464445-14465285",6.44281592970206e-09,2.9810154258355,0.07,0.009,0.00129585645357283,"Sig"
"chr1-2134891-2136190",6.95284015171658e-09,1.32466198642968,0.249,0.095,0.00139843864539506,"Sig"
"chr19-58606171-58607550",7.39443535859313e-09,2.15509744405591,0.117,0.024,0.00148725757254455,"Sig"
"chr10-7540877-7542448",7.50022976174696e-09,2.00103536355988,0.124,0.028,0.00150853621243969,"Sig"
"chr8-133381676-133382481",7.77785026502936e-09,2.30015569034593,0.109,0.021,0.00156437457950589,"Sig"
"chr15-74422470-74423486",7.83251927070106e-09,1.44634818837427,0.237,0.085,0.00157537026595465,"Sig"
"chr4-18110753-18111623",8.03982894000907e-09,2.123266905839,0.125,0.028,0.0016170668743619,"Sig"
"chr14-105466560-105467790",8.30191131803579e-09,1.78093241800387,0.147,0.041,0.00166978002721918,"Sig"
"chr4-48058320-48059831",8.42462183910354e-09,1.98299807968874,0.135,0.033,0.00169446103974257,"Sig"
"chr5-172902188-172903233",8.92703990281468e-09,1.58497392260607,0.186,0.058,0.00179551338973292,"Sig"
"chr10-75244776-75245997",9.44302489168116e-09,1.69464207106643,0.177,0.054,0.00189929448251362,"Sig"
"chr1-198108634-198109922",9.82759736503251e-09,2.21655155262185,0.114,0.024,0.00197664431322372,"Sig"
"chr4-39637421-39639905",9.83043807984922e-09,1.00212569483887,0.301,0.137,0.00197721567187623,"Sig"
"chr14-75452627-75453689",1.02213580100863e-08,1.5426653373765,0.189,0.063,0.00205584217928468,"Sig"
"chr16-4935209-4937937",1.02472525238086e-08,1.7144801897543,0.139,0.039,0.00206105039461867,"Sig"
"chr11-122439402-122441665",1.02590714373357e-08,1.97879114489025,0.139,0.034,0.00206342755633421,"Sig"
"chr1-67815255-67816068",1.06119586989976e-08,1.69536898331479,0.187,0.059,0.00213440447704679,"Sig"
"chr17-28380092-28380625",1.0732132088523e-08,1.97534032980047,0.13,0.033,0.0021585751912288,"Sig"
"chr17-13947288-13948275",1.07797981446876e-08,3.09503697793316,0.062,0.007,0.00216816236043731,"Sig"
"chr15-80749329-80750056",1.07979508364205e-08,1.87999742236865,0.139,0.038,0.00217181344763093,"Sig"
"chr5-16508560-16509508",1.09824204910036e-08,2.79816247794077,0.07,0.01,0.00220891619819653,"Sig"
"chr6-7560939-7561991",1.10395852261058e-08,2.66121684349341,0.091,0.015,0.00222041385569711,"Sig"
"chr12-39441966-39443805",1.14110735651374e-08,1.67688810638782,0.2,0.061,0.00229513204830321,"Sig"
"chr1-193058474-193060219",1.20278316086803e-08,1.17114038144223,0.249,0.102,0.0024191818271171,"Sig"
"chr5-172747711-172748969",1.21887926673866e-08,1.8962155594509,0.129,0.03,0.0024515562467768,"Sig"
"chr19-29670984-29671999",1.28347730585371e-08,1.46532299409166,0.213,0.072,0.00258148357480968,"Sig"
"chr19-14949843-14950805",1.28519539698376e-08,3.85241598470397,0.05,0.003,0.00258493920586137,"Sig"
"chr14-96095478-96096291",1.29144378774577e-08,2.4122088402926,0.11,0.02,0.00259750671916882,"Sig"
"chr16-3009438-3010328",1.3035489262939e-08,1.67768868618683,0.199,0.059,0.00262185402643345,"Sig"
"chr3-133805014-133806546",1.33063622184761e-08,1.85789580061376,0.124,0.033,0.00267633524572653,"Sig"
"chr19-39154000-39155551",1.33681901741983e-08,1.6183519243379,0.197,0.062,0.00268877082611685,"Sig"
"chr9-38226137-38227962",1.34028366717018e-08,1.57290031585306,0.196,0.063,0.00269573934545273,"Sig"
"chr4-146244133-146245771",1.34756044648781e-08,2.27977475721153,0.09,0.019,0.00271037527722985,"Sig"
"chr14-67460589-67461818",1.35868197189606e-08,1.87164474279394,0.15,0.04,0.00273274422371399,"Sig"
"chr6-158729283-158731164",1.3602323130328e-08,1.67457690023135,0.177,0.053,0.00273586245584913,"Sig"
"chr16-14300678-14303069",1.38582111253104e-08,1.59708180574304,0.191,0.059,0.00278732972005594,"Sig"
"chr4-105946278-105947205",1.40249152871694e-08,2.47927434662895,0.072,0.011,0.00282085926153896,"Sig"
"chr19-52867474-52868558",1.46274665109467e-08,2.15814739646739,0.116,0.024,0.00294205159427973,"Sig"
"chr10-21385668-21387232",1.48572901706303e-08,2.12029780690766,0.105,0.024,0.00298827648659922,"Sig"
"chr16-84825839-84826954",1.55222364354316e-08,1.98852447991305,0.135,0.033,0.00312201845873123,"Sig"
"chr19-3564951-3565606",1.55718720037573e-08,2.12872434690448,0.122,0.028,0.00313200175985972,"Sig"
"chr4-183609946-183612025",1.57251147061931e-08,1.86675209050354,0.142,0.037,0.00316282377108604,"Sig"
"chr17-36181837-36184092",1.5940234227883e-08,-0.881146396826333,0.122,0.194,0.00320609119072256,"Sig"
"chr7-23464983-23465949",1.62418454191741e-08,1.64894909627455,0.178,0.054,0.00326675485284933,"Sig"
"chr1-1431538-1432179",1.62628106931022e-08,1.84867770443461,0.144,0.039,0.00327097164032503,"Sig"
"chr7-41774651-41775349",1.65507320174887e-08,2.12709037672044,0.11,0.024,0.00332888183214154,"Sig"
"chr12-100148620-100149769",1.69041141852464e-08,1.89063358239854,0.139,0.037,0.00339995829430697,"Sig"
"chr10-126404436-126405993",1.761337709145e-08,1.79019933133863,0.171,0.049,0.00354261376115752,"Sig"
"chr15-71294289-71296559",1.80153660471201e-08,1.52746838013847,0.235,0.082,0.00362346660378936,"Sig"
"chr17-9236163-9236780",1.82208546183034e-08,1.84753224435929,0.16,0.042,0.00366479693108861,"Sig"
"chr1-153363815-153365826",1.86012091459818e-08,1.35491795462956,0.27,0.102,0.00374129839794962,"Sig"
"chr9-100332265-100333284",1.93996314076762e-08,2.10534861833743,0.118,0.028,0.00390188666428872,"Sig"
"chr6-85468158-85468689",2.01152703990081e-08,2.05840846622173,0.109,0.025,0.0040458245658933,"Sig"
"chr17-80123777-80124987",2.04303636171545e-08,1.7657129804421,0.166,0.048,0.00410919989504553,"Sig"
"chr9-126661310-126662962",2.04600192925314e-08,2.18270961861629,0.096,0.02,0.00411516460034543,"Sig"
"chr16-85546398-85547423",2.10808574747402e-08,1.6614773918996,0.16,0.049,0.00424003502560944,"Sig"
"chr20-13994886-13996485",2.1524542704444e-08,1.86889720657977,0.133,0.036,0.00432927432323023,"Sig"
"chr9-110590518-110592803",2.15964677607365e-08,1.86503005650503,0.147,0.037,0.00434374075365246,"Sig"
"chr16-3067616-3068894",2.28761872706574e-08,2.62451981407552,0.074,0.01,0.00460113329812186,"Sig"
"chr14-73057278-73059318",2.38004593141576e-08,1.24408838300095,0.222,0.085,0.00478703398277515,"Sig"
"chr5-96702431-96703532",2.38308899227177e-08,1.24042319188989,0.226,0.091,0.00479315455193606,"Sig"
"chr8-141391399-141392719",2.39943227616414e-08,-1.18728528960942,0.038,0.072,0.00482602612569447,"Sig"
"chr2-10773575-10775294",2.44471922706103e-08,1.54507061606618,0.212,0.068,0.00491711267577239,"Sig"
"chr17-41535810-41536526",2.4848807582349e-08,1.78992375358191,0.151,0.041,0.00499789036665302,"Sig"
"chr10-104120656-104122457",2.53751503701641e-08,0.80573290378442,0.37,0.187,0.00510375474425184,"Sig"
"chr6-2919956-2921185",2.54451090999068e-08,1.55961547837647,0.183,0.057,0.00511782568348245,"Sig"
"chr11-67030769-67032633",2.57024955255994e-08,1.28812504643048,0.292,0.107,0.00516959433005486,"Sig"
"chr18-63240507-63241626",2.57064619278284e-08,2.07835022829934,0.119,0.025,0.00517039210046797,"Sig"
"chr16-25048550-25050996",2.64677617818142e-08,1.32025843915074,0.246,0.09,0.00532351386269985,"Sig"
"chr2-20213033-20214480",2.68856688252918e-08,1.67505573074414,0.173,0.052,0.0054075683421686,"Sig"
"chr2-15169189-15170592",2.69090766727746e-08,1.81142944592207,0.145,0.039,0.0054122764093485,"Sig"
"chr5-82222333-82223133",2.79431587917033e-08,2.35685081147099,0.079,0.014,0.00562026341409288,"Sig"
"chr16-68002306-68003465",2.80581946676543e-08,1.36734001943121,0.265,0.102,0.00564340080989464,"Sig"
"chr7-42236264-42238546",2.85885894514433e-08,1.63096504495755,0.172,0.053,0.0057500801735477,"Sig"
"chr3-44058085-44059101",2.87077178235334e-08,3.23815809646545,0.059,0.007,0.00577404070128291,"Sig"
"chr2-235394102-235394828",2.88582220606739e-08,2.54349428920473,0.068,0.011,0.00580431191950747,"Sig"
"chr14-56665603-56667164",2.98472751711605e-08,3.1805362042402,0.059,0.006,0.00600324214972586,"Sig"
"chr2-9830224-9831181",3.07755659410208e-08,1.86413311597549,0.141,0.039,0.0061899511288494,"Sig"
"chr1-175359366-175360456",3.14362901264792e-08,2.09238155283579,0.117,0.027,0.00632284390571902,"Sig"
"chr19-33905412-33907340",3.18362638398434e-08,1.9122693876539,0.121,0.029,0.00640329141863538,"Sig"
"chr1-231702281-231703425",3.19607719475312e-08,1.69661523801255,0.162,0.048,0.00642833398335084,"Sig"
"chr3-46162517-46164117",3.20670712034458e-08,1.44939347734344,0.203,0.067,0.00644971416529147,"Sig"
"chr9-106681320-106683577",3.28435082190072e-08,2.02936666224214,0.134,0.033,0.00660588049510536,"Sig"
"chr3-54891117-54892133",3.28793944720583e-08,1.51536445740211,0.185,0.059,0.00661309836895403,"Sig"
"chr2-234461985-234462982",3.29419231130741e-08,2.28589223193031,0.103,0.022,0.00662567487957881,"Sig"
"chr11-62456232-62457111",3.29800527105927e-08,1.78071678640919,0.157,0.046,0.00663334396178694,"Sig"
"chr17-65462917-65463715",3.3472326363605e-08,2.56351572742547,0.076,0.012,0.0067323559461646,"Sig"
"chr17-31487406-31490084",3.37839312083257e-08,1.22376855904219,0.259,0.104,0.00679502965179297,"Sig"
"chr7-134710106-134711574",3.43586645675767e-08,1.51846594808761,0.235,0.08,0.00691062692180584,"Sig"
"chr2-42562209-42563077",3.74366827841031e-08,2.08254288794618,0.109,0.026,0.00752971488173223,"Sig"
"chr16-57619662-57620708",3.7597173631494e-08,1.83211057166672,0.117,0.03,0.00756199472684965,"Sig"
"chr2-131033774-131035386",3.79827558395015e-08,2.14254589584547,0.092,0.02,0.00763954764751062,"Sig"
